  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
      111         100                 7  ((((....))))     0.829057988877         0.824634049248
      112          32                 4  ..(((...))).     0.753302872953         0.764650941461
      113         113                 7  ((((....))))     0.833462759991         0.829844653447
      114         389                40  ((........))     0.554252270324         0.655849267055
      115         190                15  ((((...)))).     0.826495955837         0.826438995816
      116         204                15  ((((...)))).     0.829396319791         0.817784366585
      117          60                 5  .((((...))))     0.812178052796         0.807104881946
      118         120                 8  ...(((...)))     0.550145233542         0.640725554928
      119         130                 9  ...((.....))     0.572305987826         0.650467182503
      120          51                 5  .((((...))))     0.821051042287         0.810521524729
      121         192                15  ((((...)))).     0.834745083872         0.82677784796
      122          53                 5  .((((...))))     0.817053918183         0.80935257142
      123          49                 5  .((((...))))     0.813065451759         0.803538120587
      124         292                23  (((...)))...     0.582485486434         0.662925561007
      125         353                32  ((.......)).     0.645038733258         0.677932584916
      126         347                31  ((......))..     0.614358996718         0.649346054736
      127         170                14  .(((...)))..     0.771473104718         0.780818161506
      128         155                13  .(((.....)))     0.719173739011         0.729471227627
      129         108                 7  ((((....))))     0.756498678022         0.758770447263
      130          39                 4  ..(((...))).     0.723680868281         0.74981496865
      131           2                 1  ....((....))     0.605796296409         0.62972504759
      132         232                19  .((......)).     0.707392205169         0.73378533298
      133         178                14  .(((...)))..     0.720248073658         0.750475021494
      134          34                 4  ..(((...))).     0.73935685204          0.745320435249
      135         241                20  (((......)))     0.723221097831         0.751611745117
      136         207                15  ((((...)))).     0.764289119419         0.762143079244
      137         164                13  .(((.....)))     0.740900633003         0.742178059496
      138         143                11  ..((......))     0.480000161424         0.603205493965
      139         194                15  ((((...)))).     0.771796605232         0.77418471833
      140         293                23  (((...)))...     0.482787409767         0.575625575697
      141         114                 7  ((((....))))     0.773365476322         0.770227837931
      142          10                 3  ..(((....)))     0.436850233078         0.578017366673
      143          50                 5  .((((...))))     0.766736811532         0.764812084118
      144          48                 5  .((((...))))     0.769322315472         0.771482379837
      145         112                 7  ((((....))))     0.778440155465         0.77897594613
      146         279                23  (((...)))...     0.487774278878         0.57805691956
      147         145                11  ..((......))     0.459422856713         0.593806222175
      148          17                 3  ..(((....)))     0.475739982208         0.558115929116
      149         280                23  (((...)))...     0.488356479918         0.591758958004
      150         390                40  ((........))     0.492915315146         0.604128104664
      151         142                11  ..((......))     0.439154141883         0.606837637949
      152         123                 8  ...(((...)))     0.458145192992         0.57460925264
      153         286                23  (((...)))...     0.486054241137         0.581200454775
      154         290                23  (((...)))...     0.493716596971         0.591324512654
      155         122                 8  ...(((...)))     0.425631645035         0.59164367384
      156         172                14  .(((...)))..     0.739635061212         0.752237521376
      157         285                23  (((...)))...     0.548528275653         0.599997532717
      158         363                34  ((....))....     0.60455388675          0.630372307322
      159         191                15  ((((...)))).     0.786557203309         0.782358766474
      160         116                 7  ((((....))))     0.774990935569         0.77360565702
      161         131                 9  ...((.....))     0.570547292072         0.6407562072
      162         205                15  ((((...)))).     0.774176090086         0.775654145327
      163           5                 2  ...((....)).     0.656923703641         0.68060987152
      164         119                 8  ...(((...)))     0.500007146947         0.598209860519
      165         287                23  (((...)))...     0.520128898959         0.601120368925
      166         281                23  (((...)))...     0.483870450739         0.61087338116
      167         124                 8  ...(((...)))     0.515030493382         0.589156511906
      168         355                32  ((.......)).     0.531855472065         0.591312012034
      169         129                 9  ...((.....))     0.512445703513         0.607635301239
